ID,Handle,Title,Body HTML,Vendor,Type,Tags,Created At,Updated At,Status,Image Src,Image Position,Variant ID,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Barcode,Variant Image,Variant Price,Variant Compare At Price,Variant Inventory Qty,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: product.Geschlecht [single_line_text_field],Metafield: product.Marke [single_line_text_field],Metafield: product.Altersgruppe [single_line_text_field],Metafield: product.Modell [single_line_text_field],Metafield: product.IntroDE [multi_line_text_field],Metafield: product.DescriptionDE [multi_line_text_field],Metafield: product.FeaturesDE [multi_line_text_field],Metafield: product.Material [multi_line_text_field],Metafield: product.Innenmaterial [multi_line_text_field],Metafield: product.Sohle [multi_line_text_field],Metafield: product.Innensohle [multi_line_text_field],Metafield: product.1Kategorie [single_line_text_field],Metafield: product.2Erlebnisbereich [single_line_text_field],Metafield: product.3Hauptgruppe [single_line_text_field],Metafield: product.4Untergruppe [single_line_text_field],Metafield: product.Produktbereich [single_line_text_field],Metafield: product.Produktgruppe [single_line_text_field],Metafield: product.Produktart [single_line_text_field]
6427677261973,laugenstangen-salz-150g,Laugenstangen Salz 150g,"<div class=""ov_ca__info_wrapper ov_ca__info"" data-mce-fragment=""1"">
<div class=""ov_ca__info_headline"" data-mce-fragment=""1"">Zutaten</div>
<div class=""info_text_block"" data-mce-fragment=""1"">Weich Weizenmehl, ölsäurereiches Sonnenblumenöl, natürliche Hefe (Weich Weizenmehl), Salz 4,4%, Hartweizen Grieß, extra natives Olivenöl, Bierhefe, WEIZENGLUTEN, gemälztes Weizenmehl, Säureregulator: E524.</div>
<div class=""info_text_block"" data-mce-fragment=""1""></div>
</div>
<table class=""ov_ca__info_wrapper ov_ca__nutrition_data"" data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr class=""ov_ca__info_headline ov_ca__nutrition_header"" data-mce-fragment=""1"">
<td data-mce-fragment=""1"">Nährwerte<span data-mce-fragment=""1""> </span>
<div class=""ov_ca__nutrition_info_layer_wrapper"" data-mce-fragment=""1"">
<i class=""ov_ca__nutrition_info fas fa-info-circle"" data-mce-fragment=""1"" onmouseover=""IP.call('IP.layer.displayLayer',{layer_id:'nutritionInfoLayer',  display_position: 'origin', adapt_layer_position_to_viewport: false, ignore_lost_focus: false, force_body_parent: true, auto_insert_wrapper: false, omit_nested_fields_handling: false, allow_only_one_visible_layer: true, use_scrollbar: false, check_drawn_layer: true, animation_effect: null, animation_speed: 300, draggable: false, draggable_handle: null, position_correction: {x:-196,y:33}, before_display_handler_function: null, before_display_handler_params: null});"" onmouseout=""IP.call('IP.layer.hideLayer',{layer_id:'nutritionInfoLayer' });""></i><br data-mce-fragment=""1"">
</div>
</td>
<td class=""right"" data-mce-fragment=""1"">100 g</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">Energie</td>
<td class=""right"" data-mce-fragment=""1"">1755 kJ</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">Energie</td>
<td class=""right"" data-mce-fragment=""1"">422 kcal</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">Fett</td>
<td class=""right"" data-mce-fragment=""1"">12 g</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">davon gesättigte Fettsäuren</td>
<td class=""right"" data-mce-fragment=""1"">1,80 g</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">Kohlenhydrate</td>
<td class=""right"" data-mce-fragment=""1"">66 g</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">davon Zucker</td>
<td class=""right"" data-mce-fragment=""1"">2,20 g</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">Eiweiß</td>
<td class=""right"" data-mce-fragment=""1"">11 g</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">Ballaststoffe</td>
<td class=""right"" data-mce-fragment=""1"">2,80 g</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">Salz (=Natrium x 2,5)</td>
<td class=""right"" data-mce-fragment=""1"">4,90 g</td>
</tr>
</tbody>
</table>",Snackline,Snacks,"<10Fr., Marke_Snackline, s4",2021-01-25 17:36:22 +0100,2024-08-10 00:09:03 +0200,Active,https://cdn.shopify.com/s/files/1/0492/6930/9589/products/Laugenstangen-Salz-150g-Bild-1.jpg?v=1690537397,1,38004100169877,Title,Default Title,,,94333,9002859111198,,2.69,,26,,,Unisex,Snackline,Erwachsen,,,,,,,,,Food,Lebensmittel & Getränke,Snacks / Knabberartikel,Salzstangen / Minibrezeln,Lebensmittel & Getränke,Snacks,Salzstangen & Minibrezeln
6427675000981,woogie-milchkaramellen-250g,Woogie Milchkaramellen 250g,"<p><span>Die zarten Weichkaramellen von Woogie zergehen extracremig auf der Zunge und bringen mit ihrem aromatischen Geschmack Jung und Alt zum Träumen. Handgeschnitten und einzeln verpackt.</span></p>
<div class=""info_text_block"">Milchkaramellen.</div>
<div class=""ov_ca__info_headline"">Allergene</div>
<div class=""info_text_block"">Kann Spuren von Soja und Sesam enthalten.</div>
<div class=""ov_ca__info_headline"">Zutaten</div>
<div class=""info_text_block"">Zucker, Glukosesirup, Palmfett, Magermilchpulver 6%, SAHNE, Speisesalz, Aromen.</div>
<div class=""info_text_block""></div>
<div class=""info_text_block"">Nährwerte<span> </span>
<div class=""ov_ca__nutrition_info_layer_wrapper"">
<i class=""ov_ca__nutrition_info fas fa-info-circle"" onmouseout=""IP.call('IP.layer.hideLayer',{layer_id:'nutritionInfoLayer' });"" onmouseover=""IP.call('IP.layer.displayLayer',{layer_id:'nutritionInfoLayer',  display_position: 'origin', adapt_layer_position_to_viewport: false, ignore_lost_focus: false, force_body_parent: true, auto_insert_wrapper: false, omit_nested_fields_handling: false, allow_only_one_visible_layer: true, use_scrollbar: false, check_drawn_layer: true, animation_effect: null, animation_speed: 300, draggable: false, draggable_handle: null, position_correction: {x:-196,y:33}, before_display_handler_function: null, before_display_handler_params: null});""></i><br>
</div>
100 gEnergie1699 kJEnergie403 kcalFett9,70 gdavon gesättigte Fettsäuren4,90 gKohlenhydrate77 gdavon Zucker63 gEiweiß2,20 gBallaststoffe0 gSalz (=Natrium x 2,5)0,28 g</div>",Woogie,Süsswaren,"<10Fr., Haushalt, Marke_Woogie, mb21, Produkteart_Essen, s1, s3, s6",2021-01-25 17:36:05 +0100,2024-08-10 13:51:41 +0200,Active,https://cdn.shopify.com/s/files/1/0492/6930/9589/products/Milchkaramellen-250g-Bild-1-Zoombild-941132.jpg?v=1690537380,1,38004094959765,Title,Default Title,,,86617,9002859056932,,1.99,,42,,,Unisex,Woogie,Erwachsen,,,,,,,,,Food,Lebensmittel & Getränke,Süsswaren,Bonbons / Zuckerwaren,Lebensmittel & Getränke,Süsswaren,Bonbons & Zuckerwaren
6427350827157,vorratsdose-muslibox-5-l-24-5-x-25-5-x-14-cm,"Vorratsdose/Müslibox, 5 L, 24,5 x 25,5 x 14 cm","<p>Vorratsdose/Müslibox, 5 L, 24,5 x 25,5 x 14 cm Dose Transparent/Deckel Farbig sort., Polypropylen</p>
<p data-pm-slice=""1 1 []"">Gewünschte Farbe bitte beim Check-Out angeben. Falls nicht vorhanden werden wir umgehend mit dir in Kontakt treten.</p>
<p>Vielen Dank für dein Verständnis - dein Outlet King Team.</p>",Centi,Aufbewahrung,"<10Fr., Haushalt, Produkteart_Aufbewahrung, Produkteart_Kochen & Backen, s3, s5",2021-01-25 15:09:30 +0100,2024-08-09 13:51:16 +0200,Active,https://cdn.shopify.com/s/files/1/0492/6930/9589/products/0017.717122_24aea469-7c1b-41f7-b97d-0ec688e7b2c3.jpg?v=1690537318,1,38003453132949,Grösse,5 Liter,,,4042746171220,4042746171220,,6.99,12,29,,,Unisex,Centi,Erwachsen,,,,,,,,,Nonfood,Küche & Bar,Aufbewahrung,Lebensmittel- / Getränkebehälter,Küche & Bar,Aufbewahrung,Lebensmittel & Getränkebehälter
6427682341013,dreh-und-trink-himbeere-200ml,Dreh und Trink - Himbeere 200ml,"<p>Dreh und Trink - Himbeere 200mlKindergetränkeTwist and DrinkFläschchen</p>
<div class=""ov_ca__headline_description"">Erfrischungsgetränk mit Himbeergeschmack in bunter, unzerbrechlicher 200ml Polyethylen-Flasche.</div>
<table class=""ov_ca__info_wrapper ov_ca__nutrition_data"">
<tbody>
<tr></tr>
<tr class=""ov_ca__info_headline ov_ca__nutrition_header"">
<td>Nährwerte<span> </span>
<div class=""ov_ca__nutrition_info_layer_wrapper"">
<i class=""ov_ca__nutrition_info fas fa-info-circle"" onmouseout=""IP.call('IP.layer.hideLayer',{layer_id:'nutritionInfoLayer' });"" onmouseover=""IP.call('IP.layer.displayLayer',{layer_id:'nutritionInfoLayer',  display_position: 'origin', adapt_layer_position_to_viewport: false, ignore_lost_focus: false, force_body_parent: true, auto_insert_wrapper: false, omit_nested_fields_handling: false, allow_only_one_visible_layer: true, use_scrollbar: false, check_drawn_layer: true, animation_effect: null, animation_speed: 300, draggable: false, draggable_handle: null, position_correction: {x:-196,y:33}, before_display_handler_function: null, before_display_handler_params: null});""></i><br>
</div>
</td>
<td class=""right"">100 ml</td>
<td class=""right"">200 ml</td>
<td class=""unit_serve"">(Serviereinheit)</td>
</tr>
<tr>
<td>Energie</td>
<td class=""right"">180 kJ</td>
<td class=""right"">360 kJ</td>
<td></td>
</tr>
<tr>
<td>Energie</td>
<td class=""right"">42 kcal</td>
<td class=""right"">84 kcal</td>
<td></td>
</tr>
<tr>
<td>Fett</td>
<td class=""right"">0 g</td>
<td class=""right"">0 g</td>
<td></td>
</tr>
<tr>
<td>davon gesättigte Fettsäuren</td>
<td class=""right"">0 g</td>
<td class=""right"">0 g</td>
<td></td>
</tr>
<tr>
<td>Kohlenhydrate</td>
<td class=""right"">10 g</td>
<td class=""right"">20 g</td>
<td></td>
</tr>
<tr>
<td>davon Zucker</td>
<td class=""right"">10 g</td>
<td class=""right"">20 g</td>
<td></td>
</tr>
<tr>
<td>Eiweiß</td>
<td class=""right"">0 g</td>
<td class=""right"">0 g</td>
<td></td>
</tr>
<tr>
<td>Salz (=Natrium x 2,5)</td>
<td class=""right"">0 mg</td>
<td class=""right"">0 mg</td>
</tr>
</tbody>
</table>",Twist and Drink,Alkoholfreie Getränke,"<10Fr., Marke_Twist and Drink, Produkteart_Getränke, s1, s22",2021-01-25 17:37:02 +0100,2024-08-14 16:10:47 +0200,Active,https://cdn.shopify.com/s/files/1/0492/6930/9589/products/dreh-und-trink-himbeere-200ml-outlet-king-spiez-178712.jpg?v=1656686621,1,38004107739285,Title,Default Title,,,91810,9015340103558,,0.99,,22,,,Unisex,Twist and Drink,Erwachsen,,,,,,,,,Food,Lebensmittel & Getränke,Getränke Alkoholfrei,Fruchtsaft,Lebensmittel & Getränke,Alkoholfreie Getränke,Fruchtsaft
6427676606613,only-marienkafer-milchschokolade-100g,Only Marienkäfer Milchschokolade 100g,"<div class=""ov_ca__headline_description"">Milchschokolade im Netz.</div>
<div class=""ov_ca__headline_description""></div>
<div class=""ov_ca__view"">
<div class=""ov_ca__zoom_box_wrapper"">
<table class=""ov_ca__info_wrapper ov_ca__nutrition_data"">
<tbody>
<tr class=""ov_ca__info_headline ov_ca__nutrition_header"">
<td>Nährwerte<span> </span>
<div class=""ov_ca__nutrition_info_layer_wrapper"">
<i class=""ov_ca__nutrition_info fas fa-info-circle"" onmouseout=""IP.call('IP.layer.hideLayer',{layer_id:'nutritionInfoLayer' });"" onmouseover=""IP.call('IP.layer.displayLayer',{layer_id:'nutritionInfoLayer',  display_position: 'origin', adapt_layer_position_to_viewport: false, ignore_lost_focus: false, force_body_parent: true, auto_insert_wrapper: false, omit_nested_fields_handling: false, allow_only_one_visible_layer: true, use_scrollbar: false, check_drawn_layer: true, animation_effect: null, animation_speed: 300, draggable: false, draggable_handle: null, position_correction: {x:-196,y:33}, before_display_handler_function: null, before_display_handler_params: null});""></i><br>
</div>
</td>
<td class=""right"">100 g</td>
</tr>
<tr>
<td>Energie</td>
<td class=""right"">2144 kJ</td>
</tr>
<tr>
<td>Energie</td>
<td class=""right"">512 kcal</td>
</tr>
<tr>
<td>Fett</td>
<td class=""right"">26 g</td>
</tr>
<tr>
<td>davon gesättigte Fettsäuren</td>
<td class=""right"">17 g</td>
</tr>
<tr>
<td>Kohlenhydrate</td>
<td class=""right"">61 g</td>
</tr>
<tr>
<td>davon Zucker</td>
<td class=""right"">60 g</td>
</tr>
<tr>
<td>Eiweiß</td>
<td class=""right"">6,50 g</td>
</tr>
<tr>
<td>Ballaststoffe</td>
<td class=""right"">2,80 g</td>
</tr>
<tr>
<td>Salz (=Natrium x 2,5)</td>
<td class=""right"">0,27 g</td>
</tr>
</tbody>
</table>
</div>
</div>",Only,Süsswaren,"<10Fr., Marke_Only, Produkteart_Essen, s22",2021-01-25 17:36:17 +0100,2024-08-15 13:53:16 +0200,Active,https://cdn.shopify.com/s/files/1/0492/6930/9589/products/Marienkaefer-Milchschokolade-100g-Bild-1-Zoombild.jpg?v=1690537395,1,38004099448981,Title,Default Title,,,85522,9002859050763,,1.99,,53,,,Unisex,Only,Erwachsen,,,,,,,,,Food,Lebensmittel & Getränke,Süsswaren,Schokolade,Lebensmittel & Getränke,Süsswaren,Schokolade
5943965057173,koffergurt-mit-schloss-rot,Koffergurt mit Schloss rot,"<h3>Koffergurt Rot mit schnell Zahlenschloss. </h3>
<p>Der praktische Koffergurt ist aus einem hochwertigen und reissfesten Nylon-Gewebe und kann in der Länge zwischen 90 - 165 cm verstellt werden. <span data-mce-fragment=""1"">Ein farbiger, strapazierfähiger und reissfester Nylon-Koffergurt mit integriertem TSA-Zahlenschloss.</span> Der Koffergurt hält den Koffer und Reisegepäck auch bei hoher Belastung zusammen. Kann vertikal oder diagonal genutzt werden. </p>
<p> </p>
<h3>Zusätzliche Informationen </h3>
<ul>
<li>hochfestes Nylon</li>
<li>Länge verstellbar von 90- 165 cm</li>
<li>Zahlenschloss </li>
</ul>
<p><br></p>",-,Fashion-Accessoires,"Koffer & Zubehör, Produkteart_Reisezubehör, Sport & Reisen, Test",2020-10-13 15:00:33 +0200,2024-08-08 07:07:43 +0200,Active,https://cdn.shopify.com/s/files/1/0492/6930/9589/products/31316KoffergurtTSA-Zahlenschlossrot1_7270c7b5-648e-4dd3-99d7-920c8edc664b.jpg?v=1690536651,1,36892348481685,Title,Default Title,,,31316 Packtisch unten,4260157697614,,14.99,29,47,,,Unisex,-,Erwachsen,,,,,,,,,Nonfood,Accessoires & Mode,Fashion-Accessoires,Zubehör,Accessoires & Mode,Fashion-Accessoires,Zubehör
6427678048405,wiko-rostzwiebeln-250g,Wiko Röstzwiebeln 250g,"<p>Röstzwiebeln 250gRöstzwiebeln &amp; Backerbsen - WikoWikoBeutel</p>
<div class=""ov_ca__info_wrapper ov_ca__info"">
<div class=""info_text_block"">Zwiebeln 75%, Palmöl, WEIZENmehl, Speisesalz.</div>
<div class=""info_text_block""></div>
<div class=""info_text_block"">Nährwerte<span> </span>
<div class=""ov_ca__nutrition_info_layer_wrapper"">
<i class=""ov_ca__nutrition_info fas fa-info-circle"" onmouseout=""IP.call('IP.layer.hideLayer',{layer_id:'nutritionInfoLayer' });"" onmouseover=""IP.call('IP.layer.displayLayer',{layer_id:'nutritionInfoLayer',  display_position: 'origin', adapt_layer_position_to_viewport: false, ignore_lost_focus: false, force_body_parent: true, auto_insert_wrapper: false, omit_nested_fields_handling: false, allow_only_one_visible_layer: true, use_scrollbar: false, check_drawn_layer: true, animation_effect: null, animation_speed: 300, draggable: false, draggable_handle: null, position_correction: {x:-196,y:33}, before_display_handler_function: null, before_display_handler_params: null});""></i><br>
</div>
100 gEnergie2450 kJEnergie590 kcalFett44 gdavon gesättigte Fettsäuren21 gKohlenhydrate40 gdavon Zucker9 gEiweiß6 gBallaststoffe5,40 gSalz (=Natrium x 2,5)1,20 g</div>
</div>",Wiko,Fertigsuppen,"<10Fr., Marke_Wiko, Produkteart_Essen, s4",2021-01-25 17:36:28 +0100,2024-08-14 21:14:18 +0200,Active,https://cdn.shopify.com/s/files/1/0492/6930/9589/products/Roestzwiebeln-250g-Bild-1-611925.jpg?v=1690537404,1,38004101185685,Title,Default Title,,,86953,9002859061240,,2.99,,30,,,Unisex,Wiko,Erwachsen,,,,,,,,,Food,Lebensmittel & Getränke,Fertigsuppen,Suppeneinlagen,Lebensmittel & Getränke,Fertigsuppen,Suppeneinlagen
6427351089301,vorratsdose-muslibox-2-l-19-5-x-18-5-x-12-cm,"Vorratsdose/Müslibox, 2 L, 19,5 x 18,5 x 12 cm,","<p>Vorratsdose/Müslibox, 2 L, 19,5 x 18,5 x 12 cm, Dose Transparent/Deckel Farbig, Polypropylen</p>
<p data-pm-slice=""1 1 []"">Gewünschte Farbe bitte beim Check-Out angeben. Falls nicht vorhanden werden wir umgehend mit dir in Kontakt treten.</p>
<p>Vielen Dank für dein Verständnis - dein Outlet King Team.</p>
<p>Pro Einheit wird eine Vorratsdose geliefert.</p>",Centi,Aufbewahrung,"<10Fr., Produkteart_Aufbewahrung, Produkteart_Kochen & Backen, s4, s5",2021-01-25 15:09:33 +0100,2024-08-15 15:22:11 +0200,Active,https://cdn.shopify.com/s/files/1/0492/6930/9589/products/0018.717123.jpg?v=1690537318,1,38003454050453,Grösse,2 Liter,,,18.717.123,4042746171237,,4.99,9,21,,,Unisex,Centi,Erwachsen,,,,,,,,,Nonfood,Küche & Bar,Aufbewahrung,Lebensmittel- / Getränkebehälter,Küche & Bar,Aufbewahrung,Lebensmittel & Getränkebehälter
5943965122709,koffergurt-mit-schloss-blau,Koffergurt mit Schloss blau,"<h3>Koffergurt Blau mit schnell Zahlenschloss. </h3>
<p>Der praktische Koffergurt ist aus einem hochwertigen und reissfesten Nylon-Gewebe und kann in der Länge zwischen 90 - 165 cm verstellt werden.<span> </span><span data-mce-fragment=""1"">Ein farbiger, strapazierfähiger und reissfester Nylon-Koffergurt mit integriertem TSA-Zahlenschloss.</span><span> </span>Der Koffergurt hält den Koffer und Reisegepäck auch bei hoher Belastung zusammen. Kann vertikal oder diagonal genutzt werden. </p>
<p> </p>
<h3>Zusätzliche Informationen </h3>
<ul>
<li>hochfestes Nylon</li>
<li>Länge verstellbar von 90- 165 cm</li>
<li>Zahlenschloss</li>
</ul>",-,Fashion-Accessoires,"Koffer & Zubehör, Produkteart_Reisezubehör, Sport & Reisen",2020-10-13 15:00:34 +0200,2024-08-09 15:08:07 +0200,Active,https://cdn.shopify.com/s/files/1/0492/6930/9589/products/34478KoffergurtTSA-Zahlenschlossblau1_98a5a529-3280-4890-807a-a383fc1afd6a.jpg?v=1690536651,1,37451378229397,Farbe,blau,,,34478-blau,4260307228835,https://cdn.shopify.com/s/files/1/0492/6930/9589/products/34478KoffergurtTSA-Zahlenschlossblau1_98a5a529-3280-4890-807a-a383fc1afd6a.jpg?v=1690536651,14.99,29,41,,,Unisex,-,Erwachsen,,,,,,,,,Nonfood,Accessoires & Mode,Fashion-Accessoires,Zubehör,Accessoires & Mode,Fashion-Accessoires,Zubehör
5943965122709,koffergurt-mit-schloss-blau,Koffergurt mit Schloss blau,,-,Fashion-Accessoires,"Koffer & Zubehör, Produkteart_Reisezubehör, Sport & Reisen",2020-10-13 15:00:34 +0200,2024-08-09 15:08:07 +0200,Active,https://cdn.shopify.com/s/files/1/0492/6930/9589/products/34478KoffergurtTSA-Zahlenschlossblau2_f97755ba-a30b-4cd6-908d-d666ed5929de.jpg?v=1690536653,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
